,timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
0,1416722400.0,19.513591398603626,0,0,-3,-13.1044981319561,0.0,0.0,0.0
1,1416726000.0,23.007316540795127,0,0,-6,15.3583876121544,34.05,15.4256150881102,0.91982337919761
2,1416729600.0,18.96010354098491,0,0,-9,-11.1120975688982,58.9763299977203,29.8,1.83836030222604
3,1416733200.0,19.54593176108813,0,0,-12,-23.0909455232341,68.1,42.1435641587182,2.75432611214137
4,1416736800.0,21.093863402972435,0,0,-15,1.55074834027149,58.9763299977203,51.6151140655525,3.66643974793389
5,1416740400.0,20.835043645743074,0,0,-18,-16.8068497416166,34.05,57.5691792468285,4.5734255362077
6,1416744000.0,21.48510187012644,0,0,-21,-2.75227229775714,8.33984470219348e-15,59.6,5.47401497532533
7,1416747600.0,18.080188270820624,0,0,-24,7.1992974964534,-34.05,57.5691792468285,6.36694850952201
8,1416751200.0,18.89793730186865,0,0,-27,10.55190135798,-58.9763299977203,51.6151140655526,7.25097729050824
9,1416754800.0,17.60480462065285,0,0,-30,-6.60758729550863,-68.1,42.1435641587182,8.12486492409711
10,1416758400.0,18.412244240667857,0,0,-33,-19.0271744535619,-58.9763299977203,29.8,8.98738919941332
11,1416762000.0,18.40595357294237,0,0,-36,-6.64101655378112,-34.05,15.4256150881103,9.83734379826563
12,1416765600.0,19.057574880031286,0,0,-39,18.6883125580518,-1.6679689404387e-14,7.29889492291822e-15,10.6735399822919
13,1416769200.0,15.268999385683205,0,0,-42,-12.6687582947725,34.05,-15.4256150881102,11.4948082555173
14,1416772800.0,22.32557818436453,0,0,-45,11.2972736650545,58.9763299977203,-29.8,12.3
15,1416776400.0,21.588312750463846,0,0,-48,9.44805274854759,68.1,-42.1435641587182,13.0879890822773
16,1416780000.0,19.23919035674421,0,0,-51,-31.7369479764902,58.9763299977203,-51.6151140655525,13.8576734283651
17,1416783600.0,18.574333837656283,0,0,-54,-26.899218457386,34.05,-57.5691792468285,14.6079765651081
18,1416787200.0,18.999830094701867,0,0,-57,-5.2495320243901,2.50195341065804e-14,-59.6,15.3378491257248
19,1416790800.0,18.21862032815109,0,0,-60,-40.8339763089946,-34.0499999999999,-57.5691792468285,16.0462703174418
20,1416794400.0,17.882209180531436,0,0,-63,33.438001266952,-58.9763299977203,-51.6151140655525,16.7322493491646
21,1416798000.0,15.48561250768581,0,0,-66,-3.8670647727491,-68.1,-42.1435641587182,17.3948268171891
22,1416801600.0,17.418746837224084,0,0,-69,-23.5808687621251,-58.9763299977203,-29.8,18.0330760470137
23,1416805200.0,19.656407795667,0,0,-72,11.9516891336175,-34.0500000000001,-15.4256150881103,18.6461043893781
24,1416808800.0,18.925823765478913,0,0,-75,2.01287481350658,-3.33593788087739e-14,-1.45977898458364e-14,19.2330544687135
25,1416812400.0,19.019738454148413,0,0,-78,-24.1910586736052,34.05,15.4256150881103,19.79310538226
26,1416816000.0,18.231081435060926,0,0,-81,16.76556598375,58.9763299977203,29.8,20.3254738481735
27,1416819600.0,20.252114819728476,0,0,-84,4.22158313588811,68.1,42.1435641587182,20.8294153010158
28,1416823200.0,23.732326801767986,0,0,-87,2.94018970923045,58.9763299977203,51.6151140655525,21.3042249330972
29,1416826800.0,21.099736974449254,0,0,-90,9.46616914502541,34.05,57.5691792468285,21.7492386802134
30,1416830400.0,18.096237643835252,0,0,-93,33.5552925745658,1.62669124274124e-13,59.6,22.1638341503995
31,1416834000.0,21.17699672464337,0,0,-96,-0.190393110690736,-34.0499999999999,57.5691792468285,22.5474314944014
32,1416837600.0,25.200975007469854,0,0,-99,-29.2071649603032,-58.9763299977202,51.6151140655526,22.8994942166474
33,1416841200.0,19.6107835139205,0,0,-102,-6.71251681840333,-68.1,42.1435641587182,23.2195299255858
34,1416844800.0,17.075039016429947,0,0,-105,18.6020355839521,-58.9763299977203,29.8,23.5070910223391
35,1416848400.0,18.405368311542237,0,0,-108,-1.97749239632879,-34.05,15.4256150881102,23.7617753267111
36,1416852000.0,18.72133438823348,0,0,-111,-31.3006168043925,-5.0039068213160905e-14,2.18966847687547e-14,23.9832266396729
37,1416855600.0,17.29582827878345,0,0,-114,-6.79144292918651,34.0499999999999,-15.4256150881102,24.1711352415389
