,timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
0,1416722400.0,16.45409196627426,0,0,-2,-16.6985029477411,0.0,0.0,0.0
1,1416726000.0,19.000650653105293,0,0,-4,-41.2841339287426,338.8,128.633065415953,8.2447583379298
2,1416729600.0,19.49247956123877,0,0,-6,69.7386207874997,586.818813604336,248.5,16.4779856358066
3,1416733200.0,17.95483382903832,0,0,-8,3.88494083974999,677.6,351.432070249714,24.6881669807794
4,1416736800.0,25.802482531072222,0,0,-10,-3.88173259768782,586.818813604336,430.414625680866,32.8638196918465
5,1416740400.0,18.121609421072254,0,0,-12,-14.2079220762892,338.8,480.065135665667,40.9935093794227
6,1416744000.0,21.479976901914196,0,0,-14,11.5927556358982,8.29820671102247e-14,497.0,49.0658659373673
7,1416747600.0,16.23719700818453,0,0,-16,-25.105694159277,-338.8,480.065135665667,57.0695994451058
8,1416751200.0,15.245729189228577,0,0,-18,63.7399118668571,-586.818813604335,430.414625680866,64.9935159576044
9,1416754800.0,11.680584241483238,0,0,-20,-11.2837959203703,-677.6,351.432070249714,72.8265331611143
10,1416758400.0,11.322040659262512,1,0,-22,122.469302441886,-586.818813604336,248.5,80.5576958727901
11,1416762000.0,12.633385615333419,0,0,-24,59.1621036671643,-338.8,128.633065415953,88.1761913625029
12,1416765600.0,13.591978237105785,0,0,-26,91.967642830459,-1.65964134220449e-13,6.086494591762352e-14,95.6713644754216
13,1416769200.0,17.766420711880453,0,0,-28,-13.2000845003074,338.8,-128.633065415953,103.03273253421
14,1416772800.0,20.288549699712156,0,0,-30,27.0652905509195,586.818813604335,-248.5,110.25
15,1416776400.0,14.52851234459047,0,0,-32,25.460555994174,677.6,-351.432070249714,117.313072871632
16,1416780000.0,16.28729021728741,0,0,-34,-26.3698736277365,586.818813604336,-430.414625680866,124.212072803029
17,1416783600.0,16.165172407491124,0,0,-36,59.3691136858969,338.8,-480.065135665667,130.937350918957
18,1416787200.0,14.976449591882742,0,0,-38,88.5939991554927,2.48946201330674e-13,-497.0,137.479501309851
19,1416790800.0,12.295462646238192,0,0,-40,6.37655697330112,-338.799999999999,-480.065135665667,143.829374186826
20,1416794400.0,11.515648791593957,0,0,-42,-8.31140198390805,-586.818813604336,-430.414625680866,149.978088678488
21,1416798000.0,14.647600784953895,0,0,-44,-11.3948465906459,-677.6,-351.432070249714,155.917045251634
22,1416801600.0,12.38858507618161,0,0,-46,-49.2803491289586,-586.818813604336,-248.5,161.637937738477
23,1416805200.0,16.42267333958459,0,0,-48,27.9795374548535,-338.800000000001,-128.633065415953,167.132764953572
24,1416808800.0,17.21579681639169,0,0,-50,78.8406741303308,-3.31928268440899e-13,-1.21729891835247e-13,172.393841884201
25,1416812400.0,14.570022204740514,0,0,-52,-30.2916947645572,338.8,128.633065415953,177.41381043855
26,1416816000.0,19.820981422185866,0,0,-54,46.303271996686,586.818813604336,248.5,182.185649736677
27,1416819600.0,17.58984983370012,0,0,-56,27.2382718178541,677.6,351.432070249714,186.702685929837
28,1416823200.0,20.046913553299003,0,0,-58,123.941877519714,586.818813604336,430.414625680866,190.958601534469
29,1416826800.0,16.894171426050818,0,0,-60,-61.2878310909593,338.8,480.065135665667,194.947444267766
30,1416830400.0,16.954623011586097,0,0,-62,200.166373836676,1.61856972992873e-12,497.0,198.663635372483
31,1416834000.0,15.291494178085202,0,0,-64,-120.070011530416,-338.799999999999,480.065135665667,202.10197741933
32,1416837600.0,17.623566393558434,0,0,-66,32.374793403016,-586.818813604335,430.414625680866,205.257661576047
33,1416841200.0,17.965027797524748,0,0,-68,7.3332659540576,-677.6,351.432070249714,208.126274332995
