"","value","anomaly"
"1",0.251951354591034,"0"
"2",0.120967494955042,"0"
"3",-0.505022862440737,"0"
"4",-0.774371568241883,"0"
"5",-1.05409698827602,"0"
"6",-1.10830676242144,"0"
"7",-0.929181993411299,"0"
"8",-1.17317863930804,"0"
"9",-1.45549250509077,"0"
"10",-1.37985822225332,"0"
"11",-1.2737578132674,"0"
"12",-1.34957926896409,"0"
"13",-1.56446744902284,"0"
"14",-1.4121001865848,"0"
"15",-2.66825021241561,"1"
"16",-2.64705680410077,"0"
"17",-3.6940364331256,"1"
"18",-2.53140205491558,"0"
"19",-2.78158303898204,"0"
"20",-2.15461289518149,"0"
"21",-2.21866539446397,"0"
"22",-3.33391040101749,"0"
"23",-3.55417282949121,"0"
"24",-2.93687796267514,"0"
"25",-2.38517713679454,"0"
"26",-1.91843341098571,"0"
"27",-2.16241231044294,"0"
"28",-3.18732627446077,"0"
"29",-3.632406419003,"0"
"30",-2.7583428540489,"0"
"31",-1.53701548153513,"0"
"32",-0.947957035305074,"0"
"33",-1.3073119426813,"0"
"34",-2.12188519285617,"0"
"35",-2.06846102752588,"0"
"36",-1.93932127668003,"0"
"37",-1.90806092743367,"0"
"38",-1.39785175595323,"0"
"39",-1.51534972650898,"0"
"40",-2.19377874312958,"0"
"41",-2.48372478954843,"0"
"42",-2.89141313080881,"0"
"43",-3.22474518982204,"0"
"44",-2.88438245447031,"0"
"45",-2.53887588056073,"0"
"46",-2.3878135847031,"0"
"47",-1.90171969799184,"0"
"48",-2.14861868707472,"0"
"49",-3.11385417283965,"0"
"50",-3.29221219199339,"0"
"51",-3.23169103925787,"0"
"52",-3.46390525639636,"0"
"53",-3.50086244469424,"0"
"54",-3.64256418162884,"0"
"55",-3.36393458885569,"0"
"56",-2.98756801514249,"0"
"57",-2.89721161473965,"0"
"58",-4.07260338739182,"1"
"59",-3.10718955598703,"0"
"60",-3.31341750262757,"0"
"61",-3.08306770540626,"0"
"62",-2.9428747496156,"0"
"63",-2.61643367726803,"0"
"64",-2.44225525545919,"0"
"65",-2.99601091928542,"0"
"66",-3.81208303034779,"0"
"67",-4.35782182080351,"0"
"68",-4.1125357403764,"0"
"69",-3.42432396860015,"0"
"70",-3.16014591352029,"0"
"71",-3.27869099497426,"0"
"72",-3.80470974645357,"0"
"73",-3.78337770442011,"0"
"74",-3.36979575837587,"0"
"75",-3.56639912234817,"0"
"76",-3.59234276956626,"0"
"77",-3.52629116210359,"0"
"78",-3.95537949486422,"0"
"79",-4.10166343936143,"0"
"80",-3.96064387754407,"0"
"81",-4.18169573833571,"0"
"82",-4.04529183897568,"0"
"83",-3.61049189018315,"0"
"84",-3.46855327324391,"0"
"85",-3.05394979339397,"0"
"86",-2.69401813573416,"0"
"87",-2.75974972206306,"0"
"88",-2.97575134913237,"0"
"89",-3.03828257369675,"0"
"90",-4.58147268053915,"1"
"91",-3.18976200389126,"0"
"92",-3.39540673382169,"0"
"93",-2.64989273561686,"0"
"94",-1.76465973376656,"0"
"95",-1.73449499948248,"0"
"96",-2.2938608100795,"0"
"97",-2.81293827151932,"0"
"98",-2.68301253954733,"0"
"99",-2.2519949058776,"0"
"100",-2.04973114639482,"0"
"101",-2.42797713940287,"0"
"102",-2.57358279797598,"0"
"103",-2.41392419685058,"0"
"104",-2.71775785429835,"0"
"105",-2.6835515540621,"0"
"106",-2.36339563604292,"0"
"107",-2.59086383511309,"0"
"108",-3.13795303328941,"0"
"109",-3.28057954604142,"0"
"110",-3.30959124240451,"0"
"111",-2.72132699261792,"0"
"112",-2.32160549379261,"0"
"113",-3.01138733100277,"0"
"114",-3.38543069837149,"0"
"115",-3.10821897455653,"0"
"116",-2.67638983053333,"0"
"117",-2.16199467745068,"0"
"118",-2.49220512853778,"0"
"119",-4.02145427666627,"0"
"120",-4.80325656894834,"0"
"121",-4.23550874047946,"0"
"122",-3.50978205646204,"0"
"123",-2.94752923484225,"0"
"124",-2.96470743964662,"0"
"125",-3.78277549403643,"0"
"126",-4.31184676093477,"0"
"127",-4.40600667288834,"0"
"128",-4.32076633834536,"1"
"129",-5.58053753486134,"0"
"130",-5.90826478071236,"0"
"131",-5.86084584298829,"0"
"132",-5.84314598856205,"0"
"133",-5.44949207575831,"0"
"134",-4.70905071619716,"0"
"135",-4.11920476119724,"0"
"136",-4.29506439311442,"0"
"137",-4.52003401448954,"0"
"138",-4.40271045759782,"0"
"139",-4.53562593518815,"0"
"140",-4.9047618749574,"0"
"141",-5.49355595603762,"0"
"142",-5.65149664024165,"0"
"143",-5.33744826088368,"0"
"144",-5.21041706612753,"0"
"145",-4.88599221238296,"0"
"146",-4.88230395138687,"0"
"147",-5.73358891121836,"0"
"148",-6.50152043369322,"0"
"149",-6.13263618614354,"0"
"150",-5.1479995826447,"0"
"151",-5.27769759937719,"0"
"152",-5.56884416426838,"0"
"153",-5.44398407745926,"0"
"154",-5.74106811958283,"0"
"155",-6.01099979182219,"0"
"156",-6.40877019299034,"0"
"157",-6.35024874539141,"0"
"158",-5.96409621908143,"0"
"159",-5.94857414291398,"0"
"160",-6.29600891865938,"0"
"161",-6.1988701326889,"0"
"162",-6.20478523472025,"0"
"163",-6.45468533248686,"0"
"164",-6.57785233330528,"0"
